2016-10-06 17:10:30.8114|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
参数名: commitModel
   在 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   在 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   在 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   在 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-10-06 16:56:48.3384|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 495:GitClient.cs:199
2016-10-06 16:56:48.3384|INFO|thread:47|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 495:GitClient.cs:199 after waiting 4.48E-05s
2016-10-06 16:56:48.3384|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 496:RepositoryModel.cs:596
2016-10-06 16:56:48.3384|INFO|thread: 9|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 496:RepositoryModel.cs:596 after waiting 0.0021586s
2016-10-06 16:56:48.3384|INFO|thread:42|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 497:GitClient.cs:288
2016-10-06 16:56:48.3384|INFO|thread:42|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 498:BranchSynchronizer.cs:126
2016-10-06 16:56:48.3514|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 496:RepositoryModel.cs:596 after blocking 0.0091248s
2016-10-06 16:56:48.3514|INFO|thread: 9|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 497:GitClient.cs:288 after waiting 0.0004427s
2016-10-06 16:56:48.3514|INFO|thread:15|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 498:BranchSynchronizer.cs:126 after waiting 0.0002629s
2016-10-06 16:56:48.3514|INFO|thread:42|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2016-10-06 16:56:48.3514|INFO|thread:42|AsyncReaderWriterLock|Released concurrent scheduler for operation: 498:BranchSynchronizer.cs:126 after blocking 0.0077491s
2016-10-06 16:56:48.3514|INFO|thread:33|AsyncReaderWriterLock|Released concurrent scheduler for operation: 495:GitClient.cs:199 after blocking 0.0273778s
2016-10-06 16:56:48.3704|INFO|thread:45|GitEnvironment|Process set up with this SSH Agent info: 9704:/tmp/ssh-bmfASbztsMVg/agent.7476
2016-10-06 16:56:48.3704|INFO|thread:45|GitEnvironment|PATH is C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Administrator\AppData\Local\Apps\2.0\4CHC53R5.6QC\CEVOJM71.RDC\gith..tion_317444273a93ac29_0003.0000_a4e55445f6113de2;C:\Users\Administrator\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2016-10-06 16:56:48.3704|INFO|thread:45|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: D:\我的文档\GitHub\githubnew\
2016-10-06 16:56:48.5194|INFO|thread:38|ConcurrentRepositoryConnection|Took 93ms to git status
2016-10-06 16:56:48.5194|INFO|thread:38|ConcurrentRepositoryConnection|Took 93ms to git status and parse output
2016-10-06 16:56:48.5244|INFO|thread:38|NewCommitViewModel|Took 173ms to load files for D:\我的文档\GitHub\githubnew
2016-10-06 16:56:48.5244|INFO|thread:38|AsyncReaderWriterLock|Released concurrent scheduler for operation: 497:GitClient.cs:288 after blocking 0.1730988s
2016-10-06 16:56:48.5244|INFO|thread: 1|NewCommitViewModel|Took 4ms to render file list for D:\我的文档\GitHub\githubnew
2016-10-06 16:56:48.5244|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 499:RepositoryViewModel.cs:325
2016-10-06 16:56:48.5244|INFO|thread:47|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 499:RepositoryViewModel.cs:325 after waiting 0.0001306s
2016-10-06 16:56:48.5484|INFO|thread:33|AsyncReaderWriterLock|Released concurrent scheduler for operation: 499:RepositoryViewModel.cs:325 after blocking 0.0187513s
2016-10-06 16:56:51.4445|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 500:GitClient.cs:199
2016-10-06 16:56:51.4445|INFO|thread:34|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 500:GitClient.cs:199 after waiting 0.0001015s
2016-10-06 16:56:51.4445|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 501:RepositoryModel.cs:596
2016-10-06 16:56:51.4445|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 501:RepositoryModel.cs:596 after waiting 1.45E-05s
2016-10-06 16:56:51.4575|INFO|thread:15|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 502:GitClient.cs:288
2016-10-06 16:56:51.4575|INFO|thread:15|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 503:BranchSynchronizer.cs:126
2016-10-06 16:56:51.4575|INFO|thread:18|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 502:GitClient.cs:288 after waiting 0.0003655s
2016-10-06 16:56:51.4575|INFO|thread:15|AsyncReaderWriterLock|Released concurrent scheduler for operation: 501:RepositoryModel.cs:596 after blocking 0.0105891s
2016-10-06 16:56:51.4575|INFO|thread:15|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 503:BranchSynchronizer.cs:126 after waiting 0.0003369s
2016-10-06 16:56:51.4575|INFO|thread:15|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2016-10-06 16:56:51.4575|INFO|thread:15|AsyncReaderWriterLock|Released concurrent scheduler for operation: 503:BranchSynchronizer.cs:126 after blocking 0.0086491s
2016-10-06 16:56:51.4775|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 500:GitClient.cs:199 after blocking 0.0309932s
2016-10-06 16:56:51.4775|INFO|thread:40|GitEnvironment|Process set up with this SSH Agent info: 9704:/tmp/ssh-bmfASbztsMVg/agent.7476
